Compound Sentiment Score,Positive Sentiment Score,Negative Sentiment Score,Neutral Sentiment Score,Line
0.9001,0.232,0.0,0.768,"parties serving as the meeting of the parties to the paris agreement,1 noting with appreciation the work undertaken by the committee to date , 1. adopts the rules of procedure of the committee to facilitate implementation and promote compli ance referred to in article 15 , paragraph 2 , of the pari"
0.7003,0.142,0.0,0.858,"her recalling article 6 of the paris agreement and decision s 1/cp.21 , paragraph 36 , 8/cma.1 and 9/cma . 2 , cogni zant of decision 5/cma.3 , 1. adopts the guidance on cooperative approaches referred to in article 1 6 , para graph 2 , as contained in the annex ; 2. clarifies that the annex require"
0.1779,0.041,0.0,0.959,"reement and the aims referred to therein , also recalling decisions 1/cp.21 , 8/cma.1 , 13/cma.1 and 9/cma.2 , cognizant of decision 2/cmp.16 , 1. adopts the rules , modalities and procedures for the mechanism established by article 1 6 , paragraph 4 , as contained in the annex ; 2. designates the b"
0.4404,0.148,0.068,0.784,"tionally determined contributions , in the context of sustainable development and poverty eradication , in a coordinated and effective manner ; 2. adopts the work programme under the framework for non- market approaches referred to in decision 1/cp.21 , paragraph 39 , as contained in the annex ; 3."
0.1779,0.038,0.0,0.962,"for infor mation also covered by the national communication reporting guidelines contained in , as applicable , decisions 4/cp.5 and 17/cp.8 , 1. adopts : ( a ) the common reporting tables referred to in chapter ii of the annex to decision 18/cma.1 for the electronic reporting of the information in"
0.5994,0.102,0.0,0.898,"ng the implementation of action for climate empowerment across all relevant areas of implementation of the convention and the paris agreement ; 4. adopts the 10- year glasgow work programme on action for climate empowerment , contained in the annex , taking i nto account the elements identified as e"
0.1779,0.036,0.0,0.964,"workplan and the inputs of experts , practitioners and relevant organizations to the work of the forum and its katowice committee on impacts ; 5. adopts the recommendations pertaining t o activity 1 of the workplan contained in annex i , forwarded by the forum in the 2020 –2021 annual report of the"
0.5267,0.084,0.0,0.916,"ded by the forum in the 2020 –2021 annual report of the katowice committee on impacts , and invites parties to implement them , as applicable ; 6. adopts the revised rules of procedure of the katowice committee on impacts contained in annex ii ; 7. recalls decision 7/cma.1 and the functions of the f"
0.91,0.248,0.0,0.752,"s the meeting of the parties to the paris agreement for 2020 and 2021,1 noting with appreciation the work undertaken by the committee to date , 1. adopts the rules of procedure related to the institutional arrangements of the committee to facilitate implementation and promote compliance referred to"
0.1779,0.036,0.0,0.964,"rticle 3 , paragraph 4 , of the kyoto protocol they will include in their reporting , at the latest in their 2016 annual inventory submission ; 9. adopts the revisions to the modalities for the accounting of assigned amounts under article 7 , paragraph 4 , of the kyoto protocol1 as set out in annex"
0.5106,0.095,0.0,0.905,"1/cmp.8 , paragraph 18 , and this decision ; ( e ) the application and calculation pursuant to paragraph 13 in the annex of decision 2/cmp.7 ; 12. adopts the standard electronic format for reporting kyoto protocol units and the reporting instructions for the second commitment period contained in ann"
0.5423,0.087,0.0,0.913,eferred to in paragraph 12 above and to report on progress made in the development and testing of that application in its next annual report ; 20. adopts the revisions to the “ guidelines for the preparation of the information required under article 7 of the kyoto protocol ” 2 for the second commitm
0.2263,0.087,0.048,0.865,"removals , or uncertainty in emissions or removals . whenever the term key category is used , it includes both source an d sink categories ” ; 4. adopts the revisions to the “ guidelines for review under article 8 of the kyoto protocol ” for the second commitment period contained in annex i ; 5. al"
0.8316,0.201,0.0,0.799,"e revisions to the “ guidelines for review under article 8 of the kyoto protocol ” for the second commitment period contained in annex i ; 5. also adopts the revisions to the “ good practice guidance and adjustments under article 5 , p aragraph 2 , of the kyoto protocol ” for the second commitment p"
0.6597,0.132,0.0,0.868,"11/cmp.3 , 10/cmp.5 , 9/cmp.6 and 8/cmp.8 , recognizing the importance of sufficient and stable funding for the international transaction log , 1. adopts the scale of fees for the international transaction log for the biennium 2016 – 2017 contained in the annex ; 2. decides that fees for the interna"
0.4767,0.087,0.0,0.913,"executive secretary,1 1. endorses decision 22/cp.21 on the programme budget for the biennium 2016 –2017 as it applies to the kyoto protocol ; 2 2. adopts the indicativ e scale of contributions for 2016 and 2017 contained in annex i , covering 28.8 per cent of the indicative contributions specified i"
0.6124,0.102,0.0,0.898,"e level of the working capital reserve at 8.3 per cent of the estimated expenditure for the trust fund for the international transactio n log ; 7. adopts the fees for the international transaction log for the biennium 2016 –2017 as contained in annex ii . 1 fccc/sbi/2015/3 . 2 recognizes that , in a"
0.1779,0.036,0.0,0.964,"rticle 3 , paragraph 4 , of the kyoto protocol they will include in their reporting , at the latest in their 2016 annual inventory submission ; 9. adopts the revisions to the modalities for the accounting of assigned amounts under article 7 , paragraph 4 , of the kyoto protocol1 as set out in annex"
0.5106,0.095,0.0,0.905,"1/cmp.8 , paragraph 18 , and this decision ; ( e ) the application and calculation pursuant to paragraph 13 in the annex of decision 2/cmp.7 ; 12. adopts the standard electronic format for reporting kyoto protocol units and the reporting instructions for the second commitment period contained in ann"
0.5423,0.087,0.0,0.913,eferred to in paragraph 12 above and to report on progress made in the development and testing of that application in its next annual report ; 20. adopts the revisions to the “ guidelines for the preparation of the information required under article 7 of the kyoto protocol ” 2 for the second commitm
0.2263,0.087,0.048,0.865,"removals , or uncertainty in emissions or removals . whenever the term key category is used , it includes both source an d sink categories ” ; 4. adopts the revisions to the “ guidelines for review under article 8 of the kyoto protocol ” for the second commitment period contained in annex i ; 5. al"
0.8316,0.201,0.0,0.799,"e revisions to the “ guidelines for review under article 8 of the kyoto protocol ” for the second commitment period contained in annex i ; 5. also adopts the revisions to the “ good practice guidance and adjustments under article 5 , p aragraph 2 , of the kyoto protocol ” for the second commitment p"
0.6597,0.132,0.0,0.868,"11/cmp.3 , 10/cmp.5 , 9/cmp.6 and 8/cmp.8 , recognizing the importance of sufficient and stable funding for the international transaction log , 1. adopts the scale of fees for the international transaction log for the biennium 2016 – 2017 contained in the annex ; 2. decides that fees for the interna"
0.4767,0.087,0.0,0.913,"executive secretary,1 1. endorses decision 22/cp.21 on the programme budget for the biennium 2016 –2017 as it applies to the kyoto protocol ; 2 2. adopts the indicativ e scale of contributions for 2016 and 2017 contained in annex i , covering 28.8 per cent of the indicative contributions specified i"
0.6124,0.102,0.0,0.898,"e level of the working capital reserve at 8.3 per cent of the estimated expenditure for the trust fund for the international transactio n log ; 7. adopts the fees for the international transaction log for the biennium 2016 –2017 as contained in annex ii . 1 fccc/sbi/2015/3 . 2 recognizes that , in a"
0.5267,0.087,0.0,0.913,"voluntary contribution to the core budget of eur 766,938 and its special contribution of eur 1,789,522 as host government of the secretariat ; 11. adopts the revised scale of contributions for 2016 –2017 contained in the annex ; ii . audit report and financial statements for 2015 12. takes note of t"
0.4767,0.085,0.0,0.915,"e executive secretary,1 1. endorses decision 21/cp.23 on the programme budget for the biennium 2018 –2019 as it applies to the kyoto protocol ; 2. adopts the indicative scale of contributions for 2018 and 2019 contained in the annex , covering 15.0 per cent of the indicative contributions specified"
0.6124,0.091,0.0,0.909,balance of the trust fund for the international transaction log from the previous biennium as at the time of publication of the annual report ; 8. adopts the scale of fees for the international transaction log for the biennium 2018 – 2019 as contained in the annex ; 9. decides that fees for the inte
0.2023,0.056,0.0,0.944,"ting forum on the impact of the implementation of response measures serves the kyoto protocol in relation to matters under the kyoto protocol ; 2. adopts the modalities , work programme and functions of the forum on the impact of the implementation of response measures contained in the annex to deci"
0.8225,0.173,0.0,0.827,tions in order to support the reso urce mobilization efforts of the adaptation fund board with a view to strengthening the adaptation f und ; 2 6. adopts the amended and restated terms and conditions of services to be provided by the world bank as an interim trustee of the adaptation fund ; 3 7. als
0.7964,0.162,0.0,0.838,he amended and restated terms and conditions of services to be provided by the world bank as an interim trustee of the adaptation fund ; 3 7. also adopts the amended and restated memorandum of understanding between the conference of the parties s erving as the meeting of the parties to the kyoto pro
0.6124,0.089,0.0,0.911,balance of the trust fund for the international transaction log from the previous biennium as at the time of publication of the annual report ; 8. adopts the scale of fees for the international transaction log for the bienn ium 2020 – 2021 as contained in the annex ; 9. decides that fees for the int
0.4767,0.084,0.0,0.916,"e executive secretary,1 1. endorses decision 17/cp.25 on the programme budget for the biennium 2020 –2021 as it applies to the kyoto protocol ; 2. adopts the indicative scale of contributions contained i n the annex ; 3. notes that the indicative scale of contributions covers 10.0 per cent of the in"
0.4767,0.082,0.0,0.918,"e executive secretary,1 1. endorses decision 22/cp.26 on the programme budget for the biennium 2022 –2023 as it applies to the kyoto protocol ; 2. adopts the indicative scale of contributions contained in the annex ; 3. notes that the indicative scale of contributions covers 11 per cent of the contr"
0.6124,0.093,0.0,0.907,balance of the trust fund for the international transaction log from the previous biennium as at the time of publication of the annual report ; 8. adopts the scale of fees for the i nternational transaction log for the biennium 2022 – 2023 contained in the annex ; 9. decides that fees for the intern
0.5267,0.097,0.0,0.903,"board on adopting the amended operational policies and guidelines8 for developing country parties to access resources from the adaptation fund and adopts the amended strategic priorities , policies and guidelines of the adaptation fund ; 9 11. requests the adaptation fund board to consider , in line"
0.6124,0.102,0.0,0.898,"onal replacement of members and alternate members , noting with appreciation the work of the compliance committee during the reporting period , 1. adopts the amendments to the rules of procedure of the compliance committee of the kyoto protocol contained in the annex , in accordance with the provisi"
0.1779,0.035,0.0,0.965,so takes note of the information contained in the note by the secretariat on the revised scales of indicative contributions for 2022 –2023 ; 6 11. adopts the indicative s cale of contributions contained in the annex ; 12. decides that the scale of contributions contained in the annex shall also be a
0.7579,0.176,0.0,0.824,the technical work under the improved forum . the ad hoc technical expert groups shall consist of balanced regional representation of parties ; 5. adopts the work programme comprising the following areas : ( a ) economic diversification and transformation ; fccc/cp/2015/10/add.2 26 ( b ) just transi
0.6597,0.141,0.0,0.859,"capacity -building under the convention the conference of the parties , recalling decisions 2/cp.7 , 4/cp.12 , 1/cp.16 , 2/cp.17 and 1/cp.18 , 1. adopts the terms of reference for the third comprehensive review of the implementation of the framework for capacity -building in developing countries es"
0.4215,0.078,0.0,0.922,") for the programme budget ; 4. notes that the programme budget contains elements relating to the convention as well as to its kyoto protocol ; 5. adopts the indicative scale of contributions for 2016 and 2017 contained in the annex , covering 71.2 per cent of the indicative contributions specified"
0.5461,0.114,0.0,0.886,"to recommending a draft decision on this matter for consideration and adoption by the conference of the parties at its twenty -second session , 1. adopts the terms of reference for the paris committe e on capacity -building established under decision 1/cp.21 , paragraph 71 , as contained in the anne"
0.5267,0.087,0.0,0.913,"standing committee on finance the conference of the parties , recalling decisions 6/cp.20 , 6/cp.21 and 1/cp.21 , in particular paragraph 63 , 1. adopts the terms of reference for the review of the functions of the standi ng committee on finance contained in the annex ; 2. takes note of the report"
0.5267,0.087,0.0,0.913,"oluntary contribution to the core budget of eur 766,938 and its special contribution of eur 1,789,522 as host g overnment of the secretariat ; 11. adopts the revised scale of contribution s for 2016 –2017 contained in the annex ; ii . audit report and financial statements for 2015 12. takes note of"
0.5994,0.093,0.0,0.907,"er alia , that the forum on the impact of the implementation of response measures shall also serve the kyoto protocol and the paris agreement ; 2. adopts the modalities , work programme and functions of the forum on the impact of the implementation of response measures as contained in the annex to d"
0.743,0.137,0.0,0.863,orts in this area ; 4. encourages parties to enhance their efforts to advance the implementation of the decisions referred to in the preamble ; 5. adopts the enhanced five -year lima work programme on gender and its gender action plan as contained in the anne x ; 6. acknowledges that capacity -build
0.7184,0.152,0.0,0.848,"ting guidelines on national communications ” 1 based on the experience s gained in preparing the first biennial reports and other information,2 1. adopts the revised “ guidelines for the preparation of national communications by parties included in annex i to the convention , part ii : unfccc report"
0.5994,0.112,0.0,0.888,"h session ( november 2020 ) ; fccc/cp/2019/13/add.2 25 ii . calendar of meetings of the con vention , kyoto protocol and paris agreement bodies 8. adopts the following dates for the sessional periods in 2024 : ( a ) first sessional period : monday , 3 june , to thursday , 13 june ; ( b ) second sess"
0.7184,0.127,0.0,0.873,et ; 6. notes that the programme budget contains elements relating to the convention and the paris agreement as well as to the kyoto protocol ; 7. adopts the indicative scale of contributions contained in the annex ; 8. notes that the indica tive scale of contributions covers 90 per cent of the cont
0.7783,0.214,0.0,0.786,", 18/cp.8 , 14/cp.11 , 2/cp.17 , 15/cp.17 , 19/cp.18 , 24/cp.19 , 1/cp.21 , 1/cp.24 , 6/cp.25 , 18/cma.1 and 5/cma.3 , 1. decides that , until it adopts a further decision on the matter , the global warming potential values used by parties in their reporting under the convention to calculate the ca"
0.5267,0.095,0.0,0.905,peration of the santiago network and technical assistance ; “ 7 . welcomes the pledges that have already been made to the santiago network ; “ 8 . adopts the terms of reference of the santiago network contained in annex i ; “ 9 . decides to establish the advisory board of the santiago network as par
0.5267,0.093,0.0,0.907,"ce of the parties , recalling decisions 6/cp.20 , 6/cp.21 , 8/cp.22 , 9/cp.22 , 8/cp.23 , 4/cp.24 , 11/cp.25 , 5/cp.26 , 5/cma.2 and 10/cma.3 , 1. adopts the terms of reference for the second review of the functions1 of the standing committee on finance , contained in the annex ; 2. takes note of th"
0.1779,0.036,0.0,0.964,"ss of developing , implementing and updating climate policies , plans , strategies and action , as appropriate , at all levels of governance ; 20. adopts the amendme nts to the gender action plan contained in the annex ; 21. takes note of the estimated budgetary implications of the activities to be"
0.765,0.15,0.0,0.85,"erence of the parties at its twenty -eighth session ; iv . calendar of me etings of the convention , kyoto protocol and paris agreement bodies 10. adopts the following dates for the sessional periods in 2025 : ( a ) first sessional period : monday , 16 june , to thursday , 26 june ; ( b ) second ses"
0.1779,0.04,0.0,0.96,"so takes note of the information contained in the note by the secretariat on the revised scales of indicative contributions for 2022 –2023 ; 6 11. adopts the indicative scale of contributions contained in the annex ; 1 decision 15/cp.1 , annex i . 2 fccc/sbi/2022/3 and add.1 , fccc/sbi/2022/9 , fccc"
0.7269,0.165,0.0,0.835,"s well as gender equality , taking into account the imperative of a just transition of the workforce when implementing the gender action plan , 1. adopts the gender action plan , contained in the annex , under the lima work programme on gender ; 2. invite s parties , members of constituted bodies ,"
0.7184,0.132,0.0,0.868,"et ; 4. notes that the programme budget contains elements relating to the convention and the paris agreement as well as to the kyoto protocol ; 5. adopts the indicative scale of contributions for 2018 and 2019 contained in the annex , cove ring 85 per cent of the indicative contributions specified i"
0.1779,0.037,0.0,0.963,"e group of experts , which identified facilitating the submission of biennial update reports as a priority in its workplans for 2020 and 2021 , 1. adopts , pursuant to decision 11/cp.24 , parag raph 5 , the revised terms of reference of the consultative group of experts contained in the annex ; 2. d"
0.7184,0.13,0.0,0.87,et ; 5. notes that the programme budget contains elements relating to the convention and the paris agreement as well as to the kyoto protocol ; 6. adopts the indicative scale of contributions contained in the annex ; 7. notes that the indicative scale of contributions covers 89 per cent of the contr
